,Month,DAY,2018,2019,2020
41,Feb,11,18.0,17.25,17.583333333333332
42,Feb,12,21.916666666666668,20.0,19.833333333333332
43,Feb,13,21.0,19.666666666666668,20.333333333333332
44,Feb,14,22.75,20.333333333333336,21.916666666666668
45,Feb,15,23.083333333333332,22.333333333333332,29.0
46,Feb,16,22.833333333333332,20.583333333333332,21.499999999999996
47,Feb,17,25.25,24.25,30.5
48,Feb,18,17.916666666666668,19.166666666666664,25.583333333333336
49,Feb,19,19.416666666666668,23.0,26.583333333333332
50,Feb,20,19.583333333333332,22.75,26.666666666666664
51,Feb,21,20.583333333333332,27.916666666666664,32.25
52,Feb,22,20.416666666666664,22.25,29.416666666666668
53,Feb,23,19.083333333333332,22.25,27.25
54,Feb,24,17.916666666666664,19.249999999999996,21.666666666666668
55,Feb,25,20.25,21.333333333333336,21.833333333333336
56,Feb,26,20.833333333333332,22.25,25.83333333333333
57,Feb,27,26.5,27.166666666666664,30.583333333333332
58,Feb,28,28.583333333333336,27.583333333333336,32.25
59,Feb,29,,,28.583333333333332
60,Mar,1,30.666666666666664,35.16666666666667,41.458333333333336
61,Mar,2,28.916666666666664,31.166666666666664,34.70833333333333
62,Mar,3,29.166666666666664,31.833333333333336,35.58333333333333
63,Mar,4,20.25,22.5,32.54166666666667
64,Mar,5,18.25,28.166666666666664,34.08333333333333
65,Mar,6,24.75,35.5,39.666666666666664
66,Mar,7,25.416666666666664,33.166666666666664,37.375
67,Mar,8,28.75,34.0,23.0
68,Mar,9,31.583333333333332,37.0,24.625
69,Mar,10,31.333333333333332,28.0,18.666666666666664
70,Mar,11,21.166666666666668,19.416666666666668,18.75
71,Mar,12,18.916666666666664,25.083333333333336,25.333333333333336
72,Mar,13,19.666666666666668,19.083333333333336,21.375
73,Mar,14,18.916666666666668,19.0,20.375
74,Mar,15,17.833333333333332,14.25,24.166666666666664
75,Mar,16,25.083333333333332,24.166666666666668,22.291666666666668
76,Mar,17,27.083333333333336,28.750000000000004,21.291666666666668
77,Mar,18,22.583333333333336,21.333333333333332,26.208333333333332
78,Mar,19,19.166666666666668,16.75,20.958333333333332
79,Mar,20,23.916666666666668,26.333333333333332,23.583333333333332
80,Mar,21,26.333333333333336,34.66666666666667,41.75
81,Mar,22,27.666666666666664,33.58333333333333,42.70833333333333
82,Mar,23,25.166666666666668,30.583333333333336,34.083333333333336
83,Mar,24,27.75,24.333333333333332,22.916666666666664
84,Mar,25,29.583333333333332,22.999999999999996,20.583333333333336
85,Mar,26,30.916666666666668,27.416666666666668,16.291666666666668
86,Mar,27,29.333333333333336,24.0,19.791666666666668
87,Mar,28,28.666666666666668,19.916666666666668,22.625
88,Mar,29,28.833333333333332,20.0,21.875
